Totaal vermogen (miljard euro),Gemiddeld vermogen (1000 euro),Mediaan vermogen (1000 euro),provincienaam,politiebureaus,Misdrijven_Totaal
8.029989950525664,180.26,102.16963636363636,Drenthe,34,20705.909090909092
4.239987631416202,160.86,84.89781818181818,Flevoland,44,22211.81818181818
10.127089882761615,177.93,99.71127272727273,Fryslân,33,26230.0
38.23145454545455,205.92,105.70036363636363,Gelderland,124,100061.81818181818
7.879193833786143,172.93,89.55945454545454,Groningen,30,30354.545454545456
18.111450834879406,180.9,99.98236363636364,Limburg,34,68476.36363636363
51.01172835497835,209.74,111.07836363636365,Noord-Brabant,74,144593.18181818182
59.21609276437848,224.42,96.36127272727272,Noord-Holland,90,197977.27272727274
18.86578401360544,197.26,101.92872727272726,Overijssel,54,52640.90909090909
28.352188755344034,228.99,105.9330909090909,Utrecht,88,74515.0
8.004768089053805,207.73,112.48,Zeeland,7,17114.545454545456
61.40256029684601,202.49,89.58036363636364,Zuid-Holland,105,229903.63636363635
